No,検査分類,表示名,施設ID,検査コード,検査名,検体コード,検体名,単位,標準単位,変換率
16,血液検査,赤血球数,1.2.840.114319.5.1000.1.26.1,0203000,RBC,010,血液,10^12/L,10^6/μL,1
17,血液検査,赤血球数,1.2.840.114319.5.1000.1.27.3,0000501,RBC(赤血球),019,全血,万/μL,10^6/μL,0.01
18,血液検査,赤血球数,1.2.840.114319.5.1000.1.28.13,0002,Ｒｂｃ,11,全血,×10*4/μl,10^6/μL,0.01
19,血液検査,赤血球数,1.2.840.114319.5.1000.1.41.2,050102,赤血球数,017,血液,百万/μL,10^6/μL,1
20,血液検査,赤血球数,1.2.840.114319.5.1000.1.45.1,0068002,ＲＢＣ,001,血液,10^6/μL,10^6/μL,1
21,血液検査,赤血球数,1.2.840.114319.5.1000.1.45.2,02003,ＲＢＣ,002,血漿,×10＾6/μｌ,10^6/μL,1
22,血液検査,赤血球数,1.2.840.114319.5.1000.1.45.4,02003,ＲＢＣ,003,全血,×10＾6/μｌ,10^6/μL,1
23,血液検査,ヘモグロビン,1.2.840.114319.5.1000.1.18.1,0211400,Hb（ﾍﾓｸﾞﾛﾋﾞﾝ）,034,血液,g/dL,g/dL,1
24,血液検査,ヘモグロビン,1.2.840.114319.5.1000.1.22.1,0500300,ﾍﾓｸﾞﾛﾋﾞﾝ濃度,003,静全血,g/dL,g/dL,1
25,血液検査,ヘモグロビン,1.2.840.114319.5.1000.1.22.2,005103,Ｈｇｂ,1G1,末梢全血（HLA関連）,g/dl,g/dL,1
26,血液検査,ヘモグロビン,1.2.840.114319.5.1000.1.23.3,2000103,ヘモグロビン濃度,611,静脈血,g/dl,g/dL,1
27,血液検査,ヘモグロビン,1.2.840.114319.5.1000.1.26.1,0202000,HGB,010,血液,g/dL,g/dL,1
28,血液検査,ヘモグロビン,1.2.840.114319.5.1000.1.27.3,0000502,HGB(血色素),019,全血,g/dL,g/dL,1
29,血液検査,ヘモグロビン,1.2.840.114319.5.1000.1.28.13,0003,Ｈｂ,11,全血,g/dl,g/dL,1
30,血液検査,ヘモグロビン,1.2.840.114319.5.1000.1.41.2,050103,ヘモグロビン,017,血液,g/dL,g/dL,1
31,血液検査,ヘモグロビン,1.2.840.114319.5.1000.1.45.1,0068003,Ｈｂ,001,血液,g/dL,g/dL,1
32,血液検査,ヘモグロビン,1.2.840.114319.5.1000.1.45.2,02004,ＨＧＢ,002,血漿,g/dL,g/dL,1
33,血液検査,ヘモグロビン,1.2.840.114319.5.1000.1.45.4,02004,ＨＧＢ,003,全血,g/dL,g/dL,1
34,血液検査,ヘマトクリット,1.2.840.114319.5.1000.1.18.1,0211500,Ht（ﾍﾏﾄｸﾘｯﾄ）,034,血液,%,%,1
35,血液検査,ヘマトクリット,1.2.840.114319.5.1000.1.22.1,0500400,ﾍﾏﾄｸﾘｯﾄ,003,静全血,％,%,1
36,血液検査,ヘマトクリット,1.2.840.114319.5.1000.1.22.2,005104,Ｈｃｔ,1G1,末梢全血（HLA関連）,%,%,1
37,血液検査,ヘマトクリット,1.2.840.114319.5.1000.1.23.3,2000104,ヘマトクリット値,611,静脈血,%,%,1
38,血液検査,ヘマトクリット,1.2.840.114319.5.1000.1.26.1,0201000,HCT,010,血液,%,%,1
39,血液検査,ヘマトクリット,1.2.840.114319.5.1000.1.27.3,0000503,HCT(ﾍﾏﾄｸﾘｯﾄ),019,全血,%,%,1
40,血液検査,ヘマトクリット,1.2.840.114319.5.1000.1.28.13,0004,Ｈｔ,11,全血,%,%,1
41,血液検査,ヘマトクリット,1.2.840.114319.5.1000.1.41.2,050104,ヘマトクリット,017,血液,%,%,1
42,血液検査,ヘマトクリット,1.2.840.114319.5.1000.1.45.1,0068004,Ｈｔ,001,血液,%,%,1
43,血液検査,ヘマトクリット,1.2.840.114319.5.1000.1.45.2,02005,ＨＣＴ,002,血漿,%,%,1
44,血液検査,ヘマトクリット,1.2.840.114319.5.1000.1.45.4,02005,ＨＣＴ,003,全血,%,%,1
45,血液検査,平均赤血球容積,1.2.840.114319.5.1000.1.18.1,0211600,MCV,034,血液,μm^3,fl,1
46,血液検査,平均赤血球容積,1.2.840.114319.5.1000.1.22.1,0500500,MCV,003,静全血,fL,fl,1
47,血液検査,平均赤血球容積,1.2.840.114319.5.1000.1.22.2,005105,Ｍｃｖ,1G1,末梢全血（HLA関連）,μ^3,fl,1
48,血液検査,平均赤血球容積,1.2.840.114319.5.1000.1.23.3,2000105,平均赤血球容積,611,静脈血,fl,fl,1
49,血液検査,平均赤血球容積,1.2.840.114319.5.1000.1.26.1,0203010,MCV,010,血液,fL,fl,1
50,血液検査,平均赤血球容積,1.2.840.114319.5.1000.1.27.3,0000504,MCV(平均赤血球容積),019,全血,fL,fl,1
51,血液検査,平均赤血球容積,1.2.840.114319.5.1000.1.28.13,0006,Ｍｃｖ,11,全血,fl,fl,1
52,血液検査,平均赤血球容積,1.2.840.114319.5.1000.1.41.2,050105,平均赤血球容積,017,血液,fL,fl,1
53,血液検査,平均赤血球容積,1.2.840.114319.5.1000.1.45.1,0068005,ＭＣＶ,001,血液,fL,fl,1
54,血液検査,平均赤血球容積,1.2.840.114319.5.1000.1.45.2,02006,ＭＣＶ,002,血漿,fL,fl,1
55,血液検査,平均赤血球容積,1.2.840.114319.5.1000.1.45.4,02006,ＭＣＶ,003,全血,fL,fl,1
56,血液検査,平均赤血球血色素量,1.2.840.114319.5.1000.1.18.1,0211700,MCH,034,血液,pg,pg,1
57,血液検査,平均赤血球血色素量,1.2.840.114319.5.1000.1.22.1,0500600,MCH,003,静全血,pg,pg,1
58,血液検査,平均赤血球血色素量,1.2.840.114319.5.1000.1.22.2,005106,Ｍｃｈ,1G1,末梢全血（HLA関連）,pg,pg,1
59,血液検査,平均赤血球血色素量,1.2.840.114319.5.1000.1.23.3,2000106,平均赤血球ヘモグロビン量,611,静脈血,Pg,pg,1
60,血液検査,平均赤血球血色素量,1.2.840.114319.5.1000.1.26.1,0203020,MCH,010,血液,pg,pg,1
61,血液検査,平均赤血球血色素量,1.2.840.114319.5.1000.1.27.3,0000505,MCH(平均赤血球血色素量),019,全血,pg,pg,1
62,血液検査,平均赤血球血色素量,1.2.840.114319.5.1000.1.28.13,0007,Ｍｃｈ,11,全血,pg,pg,1
63,血液検査,平均赤血球血色素量,1.2.840.114319.5.1000.1.41.2,050106,平均赤血球血色素量,017,血液,Pg,pg,1
64,血液検査,平均赤血球血色素量,1.2.840.114319.5.1000.1.45.1,0068006,ＭＣＨ,001,血液,pg,pg,1
65,血液検査,平均赤血球血色素量,1.2.840.114319.5.1000.1.45.2,02007,ＭＣＨ,002,血漿,pg,pg,1
66,血液検査,平均赤血球血色素量,1.2.840.114319.5.1000.1.45.4,02007,ＭＣＨ,003,全血,pg,pg,1
67,血液検査,平均赤血球血色素濃度,1.2.840.114319.5.1000.1.18.1,0211800,MCHC,034,血液,g/dL,%,1
68,血液検査,平均赤血球血色素濃度,1.2.840.114319.5.1000.1.22.1,0500700,MCHC,003,静全血,g/dL,%,1
69,血液検査,平均赤血球血色素濃度,1.2.840.114319.5.1000.1.22.2,005107,Ｍｃｈｃ,1G1,末梢全血（HLA関連）,%,%,1
70,血液検査,平均赤血球血色素濃度,1.2.840.114319.5.1000.1.23.3,2000107,平均赤血球ヘモグロビン濃度,611,静脈血,g/dL,%,1
71,血液検査,平均赤血球血色素濃度,1.2.840.114319.5.1000.1.26.1,0203030,MCHC,010,血液,%,%,1
72,血液検査,平均赤血球血色素濃度,1.2.840.114319.5.1000.1.27.3,0000506,MCHC(平均赤血球Hb濃度),019,全血,%,%,1
73,血液検査,平均赤血球血色素濃度,1.2.840.114319.5.1000.1.28.13,0008,Ｍｃｈｃ,11,全血,%,%,1
74,血液検査,平均赤血球血色素濃度,1.2.840.114319.5.1000.1.41.2,050107,平均赤血球血色素濃度,017,血液,g/dL,%,1
75,血液検査,平均赤血球血色素濃度,1.2.840.114319.5.1000.1.45.1,0068007,ＭＣＨＣ,001,血液,g/dL,%,1
76,血液検査,平均赤血球血色素濃度,1.2.840.114319.5.1000.1.45.2,02008,ＭＣＨＣ,002,血漿,%,%,1
77,血液検査,平均赤血球血色素濃度,1.2.840.114319.5.1000.1.45.4,02008,ＭＣＨＣ,003,全血,g/dL,%,1
78,血液検査,血小板数,1.2.840.114319.5.1000.1.18.1,0212000,Plt（血小板数）,034,血液,10^3/μL,10^3/μL,1
79,血液検査,血小板数,1.2.840.114319.5.1000.1.22.1,0500800,血小板数,003,静全血,10^4/μL,10^3/μL,10
80,血液検査,血小板数,1.2.840.114319.5.1000.1.22.2,005109,Ｐｌｔ,1G1,末梢全血（HLA関連）,×^3/㎜^3,10^3/μL,1
81,血液検査,血小板数,1.2.840.114319.5.1000.1.23.3,2000109,血小板数,611,静脈血,E04/μl,10^3/μL,10
82,血液検査,血小板数,1.2.840.114319.5.1000.1.26.1,0205000,PLT,010,血液,10^9/L,10^3/μL,1
83,血液検査,血小板数,1.2.840.114319.5.1000.1.27.3,0000507,PLT(血小板),019,全血,万/μL,10^3/μL,10
84,血液検査,血小板数,1.2.840.114319.5.1000.1.28.13,0005,Ｐｌｔ,11,全血,×10*4/μl,10^3/μL,10
85,血液検査,血小板数,1.2.840.114319.5.1000.1.41.2,050109,血小板数,017,血液,X10*3/μL,10^3/μL,1
86,血液検査,血小板数,1.2.840.114319.5.1000.1.45.1,0068101,ＰＬＡＴ,001,血液,10^3/μL,10^3/μL,1
87,血液検査,血小板数,1.2.840.114319.5.1000.1.45.2,02010,ＰＬＴ,002,血漿,×10＾3/μｌ,10^3/μL,1
88,血液検査,血小板数,1.2.840.114319.5.1000.1.45.4,02010,ＰＬＴ,003,全血,×10＾3/μｌ,10^3/μL,1
89,生化学検査,AST(GOT),1.2.840.114319.5.1000.1.18.1,0513000,AST(GOT),034,血液,U/L,U/L,1
90,生化学検査,AST(GOT),1.2.840.114319.5.1000.1.22.1,0035100,AST,005,静血漿,U/L,U/L,1
91,生化学検査,AST(GOT),1.2.840.114319.5.1000.1.22.2,310100,Ａｓｔ（Ｇｏｔ）,1B1,静脈血清（一般特殊 ）,IU/L,U/L,1
92,生化学検査,AST(GOT),1.2.840.114319.5.1000.1.23.3,3010500,ＡＳＴ（ＧＯＴ）,611,静脈血,U/L,U/L,1
93,生化学検査,AST(GOT),1.2.840.114319.5.1000.1.26.1,0419000,AST,010,血液,U/L,U/L,1
94,生化学検査,AST(GOT),1.2.840.114319.5.1000.1.27.3,0000001,AST,023,血清,U/L,U/L,1
95,生化学検査,AST(GOT),1.2.840.114319.5.1000.1.28.13,0213,Ａｓｔ,12,血清,IU/l,U/L,1
96,生化学検査,AST(GOT),1.2.840.114319.5.1000.1.41.2,000100,Ａｓｔ（Ｇｏｔ）,023,血清,U/L,U/L,1
97,生化学検査,AST(GOT),1.2.840.114319.5.1000.1.45.1,0004900,ＡＳＴ,001,血液,U/L,U/L,1
98,生化学検査,AST(GOT),1.2.840.114319.5.1000.1.45.2,00030,AST(GOT),001,血清,U/L,U/L,1
99,生化学検査,AST(GOT),1.2.840.114319.5.1000.1.45.4,00030,AST(GOT),001,血清,U/L,U/L,1
100,生化学検査,ALT(GPT),1.2.840.114319.5.1000.1.18.1,0513100,ALT(GPT),034,血液,U/L,U/L,1
101,生化学検査,ALT(GPT),1.2.840.114319.5.1000.1.22.1,0035500,ALT,005,静血漿,U/L,U/L,1
102,生化学検査,ALT(GPT),1.2.840.114319.5.1000.1.22.2,310200,Ａｌｔ（Ｇｐｔ）,1B1,静脈血清（一般特殊 ）,,U/L,1
103,生化学検査,ALT(GPT),1.2.840.114319.5.1000.1.23.3,3010800,ＡＬＴ（ＧＰＴ）,611,静脈血,U/L,U/L,1
104,生化学検査,ALT(GPT),1.2.840.114319.5.1000.1.26.1,0401000,ALT,010,血液,U/L,U/L,1
105,生化学検査,ALT(GPT),1.2.840.114319.5.1000.1.27.3,0000002,ALT,023,血清,U/L,U/L,1
106,生化学検査,ALT(GPT),1.2.840.114319.5.1000.1.28.13,0214,Ａｌｔ,12,血清,IU/l,U/L,1
107,生化学検査,ALT(GPT),1.2.840.114319.5.1000.1.41.2,000200,Ａｌｔ（Ｇｐｔ）,023,血清,U/L,U/L,1
108,生化学検査,ALT(GPT),1.2.840.114319.5.1000.1.45.1,0005000,ＡＬＴ,001,血液,U/L,U/L,1
109,生化学検査,ALT(GPT),1.2.840.114319.5.1000.1.45.2,00040,ALT(GPT),001,血清,U/L,U/L,1
110,生化学検査,ALT(GPT),1.2.840.114319.5.1000.1.45.4,00040,ALT(GPT),001,血清,U/L,U/L,1
111,生化学検査,Na,1.2.840.114319.5.1000.1.18.1,0511200,Na（ﾅﾄﾘｳﾑ）,034,血液,mmol/L,mmol/L,1
112,生化学検査,Na,1.2.840.114319.5.1000.1.22.1,0027100,ﾅﾄﾘｳﾑ,005,静血漿,mmol/L,mmol/L,1
113,生化学検査,Na,1.2.840.114319.5.1000.1.22.2,303200,Ｎａ,1B1,静脈血清（一般特殊 ）,mMol/L,mmol/L,1
114,生化学検査,Na,1.2.840.114319.5.1000.1.23.3,3060100,血清ナトリウム,611,静脈血,mmol/L,mmol/L,1
115,生化学検査,Na,1.2.840.114319.5.1000.1.26.1,0487000,Na,010,血液,mEq/L,mmol/L,1
116,生化学検査,Na,1.2.840.114319.5.1000.1.27.3,0000028,ﾅﾄﾘｳﾑ,023,血清,mEq/L,mmol/L,1
117,生化学検査,Na,1.2.840.114319.5.1000.1.28.13,0251,Ｎａ,12,血清,mEq/ｌ,mmol/L,1
118,生化学検査,Na,1.2.840.114319.5.1000.1.41.2,002201,ナトリウム,023,血清,mmol/L,mmol/L,1
119,生化学検査,Na,1.2.840.114319.5.1000.1.45.1,0004000,Ｎａ,001,血液,mmol/L,mmol/L,1
120,生化学検査,Na,1.2.840.114319.5.1000.1.45.2,00260,Na,001,血清,mmol/L,mmol/L,1
121,生化学検査,Na,1.2.840.114319.5.1000.1.45.4,00260,Na,001,血清,mmol/L,mmol/L,1
122,生化学検査,K,1.2.840.114319.5.1000.1.18.1,0511300,K（ｶﾘｳﾑ）,034,血液,mmol/L,mmol/L,1
123,生化学検査,K,1.2.840.114319.5.1000.1.22.1,0027500,ｶﾘｳﾑ,005,静血漿,mmol/L,mmol/L,1
124,生化学検査,K,1.2.840.114319.5.1000.1.22.2,303300,Ｋ,1B1,静脈血清（一般特殊 ）,mMol/L,mmol/L,1
125,生化学検査,K,1.2.840.114319.5.1000.1.23.3,3061100,血清カリウム,611,静脈血,mmol/L,mmol/L,1
126,生化学検査,K,1.2.840.114319.5.1000.1.26.1,0433000,K,010,血液,mEq/L,mmol/L,1
127,生化学検査,K,1.2.840.114319.5.1000.1.27.3,0000029,ｶﾘｳﾑ,023,血清,mEq/L,mmol/L,1
128,生化学検査,K,1.2.840.114319.5.1000.1.28.13,0252,Ｋ,12,血清,mEq/ｌ,mmol/L,1
129,生化学検査,K,1.2.840.114319.5.1000.1.41.2,002202,カリウム,023,血清,mmol/L,mmol/L,1
130,生化学検査,K,1.2.840.114319.5.1000.1.45.1,0004100,Ｋ,001,血液,mmol/L,mmol/L,1
131,生化学検査,K,1.2.840.114319.5.1000.1.45.2,00270,K,001,血清,mmol/L,mmol/L,1
132,生化学検査,K,1.2.840.114319.5.1000.1.45.4,00270,K,001,血清,mmol/L,mmol/L,1
133,生化学検査,Cl,1.2.840.114319.5.1000.1.18.1,0511400,Cｌ（ｸﾛｰﾙ）,034,血液,mmol/L,mmol/L,1
134,生化学検査,Cl,1.2.840.114319.5.1000.1.22.1,0028100,ｸﾛｰﾙ,005,静血漿,mmol/L,mmol/L,1
135,生化学検査,Cl,1.2.840.114319.5.1000.1.22.2,303400,Ｃｌ,1B1,静脈血清（一般特殊 ）,mMol/L,mmol/L,1
136,生化学検査,Cl,1.2.840.114319.5.1000.1.23.3,3062100,血清クロ－ル,611,静脈血,mmol/L,mmol/L,1
137,生化学検査,Cl,1.2.840.114319.5.1000.1.26.1,0434000,Cl,010,血液,mEq/L,mmol/L,1
138,生化学検査,Cl,1.2.840.114319.5.1000.1.27.3,0000030,ｸﾛ-ﾙ,023,血清,mEq/L,mmol/L,1
139,生化学検査,Cl,1.2.840.114319.5.1000.1.28.13,0253,Ｃｌ,12,血清,mEq/ｌ,mmol/L,1
140,生化学検査,Cl,1.2.840.114319.5.1000.1.41.2,002203,クロール,023,血清,mmol/L,mmol/L,1
141,生化学検査,Cl,1.2.840.114319.5.1000.1.45.1,0004200,Ｃｌ,001,血液,mmol/L,mmol/L,1
142,生化学検査,Cl,1.2.840.114319.5.1000.1.45.2,00280,Cl,001,血清,mmol/L,mmol/L,1
143,生化学検査,Cl,1.2.840.114319.5.1000.1.45.4,00280,Cl,001,血清,mmol/L,mmol/L,1
144,血液検査,好酸球,1.2.840.114319.5.1000.1.18.1,0213004,Eosino（好酸球）,034,血液,%,%,1
145,血液検査,好酸球,1.2.840.114319.5.1000.1.22.1,0501400,好酸球%,003,静全血,％,%,1
146,血液検査,好酸球,1.2.840.114319.5.1000.1.22.2,005504,Ｅｏｓｉｎｏ,1G1,末梢全血（HLA関連）,,%,1
147,血液検査,好酸球,1.2.840.114319.5.1000.1.23.3,2003106,好酸球,611,静脈血,%,%,1
148,血液検査,好酸球,1.2.840.114319.5.1000.1.26.1,0206070,Eosinophil,010,血液,%,%,1
149,血液検査,好酸球,1.2.840.114319.5.1000.1.27.3,0000514,EO%,019,全血,%,%,1
150,血液検査,好酸球,1.2.840.114319.5.1000.1.28.13,0026,Ｅｏｓ,11,全血,%,%,1
151,血液検査,好酸球,1.2.840.114319.5.1000.1.41.2,05031P,好酸球,017,血液,%,%,1
152,血液検査,好酸球,1.2.840.114319.5.1000.1.45.1,0068204,Ｅｏ,001,血液,%,%,1
153,血液検査,好酸球,1.2.840.114319.5.1000.1.45.2,02039,好酸球,002,血漿,%,%,1
154,血液検査,好酸球,1.2.840.114319.5.1000.1.45.4,02025,好酸球,003,全血,%,%,1
155,血液検査,好酸球数,1.2.840.114319.5.1000.1.23.3,2003156,#EOS,611,静脈血,E03/μl,10^3/μl,1
156,血液検査,好酸球数,1.2.840.114319.5.1000.1.26.1,0206840,EOSINO#,010,血液,,10^3/μl,1
157,血液検査,好酸球数,1.2.840.114319.5.1000.1.27.3,0000519,EO#,019,全血,百/μL,10^3/μl,0.1
158,血液検査,好酸球数,1.2.840.114319.5.1000.1.45.1,0068210,EO(絶対数),001,血液,10^3/μl,10^3/μl,1
159,血液検査,好塩基球,1.2.840.114319.5.1000.1.18.1,0213005,Baso（好塩基球）,034,血液,%,%,1
160,血液検査,好塩基球,1.2.840.114319.5.1000.1.22.1,0501500,好塩基球%,003,静全血,％,%,1
161,血液検査,好塩基球,1.2.840.114319.5.1000.1.22.2,005505,Ｂａｓｏ,1G1,末梢全血（HLA関連）,%,%,1
162,血液検査,好塩基球,1.2.840.114319.5.1000.1.23.3,2003107,好塩基球,611,静脈血,%,%,1
163,血液検査,好塩基球,1.2.840.114319.5.1000.1.26.1,0206090,Basophil,010,血液,%,%,1
164,血液検査,好塩基球,1.2.840.114319.5.1000.1.27.3,0000515,BASO%,019,全血,%,%,1
165,血液検査,好塩基球,1.2.840.114319.5.1000.1.28.13,0027,Ｂａｓｏ,11,全血,%,%,1
166,血液検査,好塩基球,1.2.840.114319.5.1000.1.41.2,05031S,好塩基球,017,血液,%,%,1
167,血液検査,好塩基球,1.2.840.114319.5.1000.1.45.1,0068205,Ｂａ,001,血液,%,%,1
168,血液検査,好塩基球,1.2.840.114319.5.1000.1.45.2,02040,好塩基球,002,血漿,%,%,1
169,血液検査,好塩基球,1.2.840.114319.5.1000.1.45.4,02026,好塩基球,003,全血,%,%,1
170,血液検査,好塩基球数,1.2.840.114319.5.1000.1.23.3,2003157,#BASO,611,静脈血,E03/μl,10^3/μl,1
171,血液検査,好塩基球数,1.2.840.114319.5.1000.1.26.1,0206850,BASO#,010,血液,,10^3/μl,1
172,血液検査,好塩基球数,1.2.840.114319.5.1000.1.27.3,0000520,BASO#,019,全血,百/μL,10^3/μl,0.1
173,血液検査,好塩基球数,1.2.840.114319.5.1000.1.45.1,0068211,BA(絶対数),001,血液,10^3/μl,10^3/μl,1
174,血液検査,リンパ球,1.2.840.114319.5.1000.1.18.1,0213006,Lymph（ﾘﾝﾊﾟ球）,034,血液,%,%,1
175,血液検査,リンパ球,1.2.840.114319.5.1000.1.22.1,0501200,ﾘﾝﾊﾟ球%,003,静全血,％,%,1
176,血液検査,リンパ球,1.2.840.114319.5.1000.1.22.2,005507,Ｌｙｍｐｈ,1G1,末梢全血（HLA関連）,%,%,1
177,血液検査,リンパ球,1.2.840.114319.5.1000.1.23.3,2003101,リンパ球,611,静脈血,%,%,1
178,血液検査,リンパ球,1.2.840.114319.5.1000.1.26.1,0206040,Lymphocyte,010,血液,%,%,1
179,血液検査,リンパ球,1.2.840.114319.5.1000.1.27.3,0000512,LYMPH%,019,全血,%,%,1
180,血液検査,リンパ球,1.2.840.114319.5.1000.1.28.13,0024,Ｌｙｍｐｈ,11,全血,%,%,1
181,血液検査,リンパ球,1.2.840.114319.5.1000.1.41.2,05031J,リンパ球,017,血液,%,%,1
182,血液検査,リンパ球,1.2.840.114319.5.1000.1.45.1,0068202,Ｌｙ,001,血液,%,%,1
183,血液検査,リンパ球,1.2.840.114319.5.1000.1.45.2,02037,リンパ球,002,血漿,%,%,1
184,血液検査,リンパ球,1.2.840.114319.5.1000.1.45.4,02023,リンパ球,003,全血,%,%,1
185,血液検査,リンパ球数,1.2.840.114319.5.1000.1.22.2,006400,Ｌｙｍｐｈｏ数,1G1,末梢全血（HLA関連）,/㎜^3,10^3/μl,0.001
186,血液検査,リンパ球数,1.2.840.114319.5.1000.1.22.1,0219000,総リンパ球数,003,静全血,,10^3/μl,0.001
187,血液検査,リンパ球数,1.2.840.114319.5.1000.1.23.3,2003151,#LYMPH,611,静脈血,E03/μl,10^3/μl,1
188,血液検査,リンパ球数,1.2.840.114319.5.1000.1.26.1,0206560,LYMPH#,010,血液,10^9/L,10^3/μl,1
189,血液検査,リンパ球数,1.2.840.114319.5.1000.1.27.3,0000517,LYMPH#,019,全血,百/μL,10^3/μl,0.1
190,血液検査,リンパ球数,1.2.840.114319.5.1000.1.45.1,0068208,LY(絶対数),001,血液,10^3/μl,10^3/μl,1
191,血液検査,リンパ球数,1.2.840.114319.5.1000.1.45.2,02077,リンパ球数(機),002,血漿,,10^3/μl,0.001
192,血液検査,単球,1.2.840.114319.5.1000.1.18.1,0213007,Mono（単球）,034,血液,%,%,1
193,血液検査,単球,1.2.840.114319.5.1000.1.22.1,0501300,単球%,003,静全血,％,%,1
194,血液検査,単球,1.2.840.114319.5.1000.1.22.2,005506,Ｍｏｎｏ,1G1,末梢全血（HLA関連）,%,%,1
195,血液検査,単球,1.2.840.114319.5.1000.1.23.3,2003102,単球,611,静脈血,%,%,1
196,血液検査,単球,1.2.840.114319.5.1000.1.26.1,0206050,Monocyte,010,血液,%,%,1
197,血液検査,単球,1.2.840.114319.5.1000.1.27.3,0000513,MONO%,019,全血,%,%,1
198,血液検査,単球,1.2.840.114319.5.1000.1.28.13,0025,Ｍｏｎｏ,11,全血,%,%,1
199,血液検査,単球,1.2.840.114319.5.1000.1.41.2,05031M,単球,017,血液,%,%,1
200,血液検査,単球,1.2.840.114319.5.1000.1.45.1,0068203,Ｍｏ,001,血液,%,%,1
201,血液検査,単球,1.2.840.114319.5.1000.1.45.2,02038,単球,002,血漿,%,%,1
202,血液検査,単球,1.2.840.114319.5.1000.1.45.4,02024,単球,003,全血,%,%,1
203,血液検査,単球数,1.2.840.114319.5.1000.1.26.1,0206830,MONO#,010,血液,,10^3/μl,1
204,血液検査,単球数,1.2.840.114319.5.1000.1.23.3,2003152,#MONO,611,静脈血,E03/μl,10^3/μl,1
205,血液検査,単球数,1.2.840.114319.5.1000.1.27.3,0000518,MONO#,019,全血,百/μL,10^3/μl,0.1
206,血液検査,単球数,1.2.840.114319.5.1000.1.45.1,0068209,MO(絶対数),001,血液,10^3/μl,10^3/μl,1
207,生化学検査,尿素窒素,1.2.840.114319.5.1000.1.18.1,0511800,UN（尿素窒素）,034,血液,mg/dL,mg/dL,1
208,生化学検査,尿素窒素,1.2.840.114319.5.1000.1.22.1,0020100,尿素窒素,005,静血漿,mg/dL,mg/dL,1
209,生化学検査,尿素窒素,1.2.840.114319.5.1000.1.22.2,302100,尿素窒素,1B1,静脈血清（一般特殊 ）,㎎/dl,mg/dL,1
210,生化学検査,尿素窒素,1.2.840.114319.5.1000.1.23.3,3020400,血清尿素窒素,611,静脈血,mg/dL,mg/dL,1
211,生化学検査,尿素窒素,1.2.840.114319.5.1000.1.26.1,0409000,UN,010,血液,mg/dL,mg/dL,1
212,生化学検査,尿素窒素,1.2.840.114319.5.1000.1.27.3,0000095,尿素窒素,023,血清,mg/dL,mg/dL,1
213,生化学検査,尿素窒素,1.2.840.114319.5.1000.1.28.13,0241,Ｂｕｎ,12,血清,mg/dl,mg/dL,1
214,生化学検査,尿素窒素,1.2.840.114319.5.1000.1.41.2,001800,尿素窒素,023,血清,mg/dL,mg/dL,1
215,生化学検査,尿素窒素,1.2.840.114319.5.1000.1.45.1,0002300,ＢＵＮ,001,血液,mg/dL,mg/dL,1
216,生化学検査,尿素窒素,1.2.840.114319.5.1000.1.45.2,00340,ＢＵＮ,001,血清,mg/dL,mg/dL,1
217,生化学検査,尿素窒素,1.2.840.114319.5.1000.1.45.4,00340,ＢＵＮ,001,血清,mg/dL,mg/dL,1
